,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
41,Female,No,22.0,No,Healthcare,0.0,average,2.0,6.0,10.324,0.992,7.969,-3.01,D
42,Female,No,40.0,Yes,Artist,14.0,average,3.0,6.0,4.586,2.68,6.248,5.511,A
43,Female,Yes,49.0,Yes,Artist,1.0,low,2.0,0.0,10.835,13.175,7.61,5.932,C
44,Male,Yes,40.0,No,Engineer,8.0,low,1.0,6.0,6.767,4.562,5.323,1.442,A
45,Female,Yes,79.0,No,Lawyer,1.0,high,2.0,6.0,4.312,5.074,11.035,3.649,A
46,Male,Yes,41.0,Yes,Artist,0.0,average,4.0,4.0,-0.02,1.409,6.702,0.087,B
47,Female,No,29.0,Yes,Healthcare,1.0,average,1.0,7.0,8.87,9.701,7.17,1.537,A
48,Male,No,19.0,No,Healthcare,0.0,low,4.0,6.0,8.956,5.129,4.811,-1.508,D
49,Female,No,45.0,Yes,Engineer,1.0,low,1.0,6.0,7.844,4.147,7.678,4.966,A
50,Female,Yes,61.0,No,Artist,1.0,average,2.0,2.0,2.127,2.819,6.584,-0.976,B
51,Female,Yes,36.0,Yes,Artist,1.0,average,2.0,6.0,11.456,-0.617,14.174,14.674,C
52,Male,Yes,40.0,Yes,Artist,1.0,low,1.0,3.0,7.416,2.59,3.766,3.851,A
53,Female,Yes,57.0,Yes,Entertainment,0.0,average,2.0,6.0,20.154,14.844,6.98,17.265,C
54,Male,Yes,76.0,No,Marketing,1.0,low,1.0,4.0,9.723,9.239,8.231,7.328,A
55,Male,Yes,32.0,Yes,Artist,14.0,average,2.0,6.0,6.228,8.306,5.555,-0.894,B
56,Male,No,25.0,Yes,Healthcare,9.0,low,4.0,6.0,7.773,7.957,0.025,4.671,D
58,Female,Yes,45.0,Yes,Artist,1.0,average,3.0,3.0,16.795,8.53,11.225,10.39,C
59,Male,Yes,72.0,Yes,Lawyer,1.0,low,3.0,4.0,5.917,-1.877,8.799,1.615,D
60,Male,Yes,48.0,Yes,Artist,0.0,average,2.0,6.0,14.929,14.037,18.159,7.008,C
61,Male,Yes,55.0,Yes,Artist,9.0,average,2.0,1.0,10.938,3.669,9.629,3.569,C
62,Male,Yes,74.0,Yes,Lawyer,0.0,high,3.0,6.0,15.205,6.609,-0.198,8.524,D
63,Male,Yes,56.0,Yes,Lawyer,1.0,high,2.0,6.0,6.616,7.0,4.448,5.815,A
64,Male,Yes,59.0,Yes,Lawyer,7.0,high,2.0,6.0,4.509,5.937,5.631,5.125,A
65,Male,No,25.0,Yes,Entertainment,0.0,low,2.0,6.0,7.758,3.136,6.526,3.462,A
66,Male,Yes,31.0,Yes,Doctor,0.0,average,2.0,6.0,4.931,3.085,5.944,4.969,A
67,Male,No,27.0,No,Artist,8.0,low,4.0,6.0,8.618,5.702,3.062,2.97,A
68,Male,Yes,57.0,Yes,Artist,0.0,average,4.0,6.0,5.281,1.565,2.797,-0.03,B
69,Female,Yes,39.0,Yes,Homemaker,1.0,high,2.0,6.0,2.193,6.689,2.148,1.441,A
70,Male,Yes,27.0,Yes,Healthcare,8.0,low,2.0,6.0,12.898,7.534,7.336,-1.239,D
71,Female,Yes,51.0,Yes,Entertainment,8.0,average,2.0,6.0,6.95,6.082,5.286,2.092,A
72,Female,Yes,47.0,No,Artist,0.0,average,5.0,6.0,6.301,-0.184,3.333,-4.684,B
74,Male,Yes,56.0,Yes,Artist,0.0,average,4.0,6.0,12.074,1.687,1.594,9.625,C
75,Female,No,33.0,No,Homemaker,0.0,low,3.0,6.0,3.932,5.37,3.922,-0.277,B
76,Female,No,36.0,Yes,Doctor,0.0,low,2.0,6.0,7.814,6.653,5.809,6.032,D
77,Male,Yes,51.0,No,Artist,4.0,low,3.0,4.0,7.722,8.069,3.514,3.842,A
78,Male,Yes,45.0,Yes,Engineer,2.0,average,2.0,6.0,17.502,10.182,14.007,7.092,C
80,Male,No,30.0,No,Healthcare,0.0,low,4.0,6.0,4.071,7.086,10.578,6.216,C
81,Female,No,26.0,No,Healthcare,6.0,low,3.0,5.0,6.528,6.183,6.822,8.606,D
82,Male,Yes,63.0,Yes,Artist,8.0,low,1.0,6.0,6.07,6.954,4.156,3.127,A
83,Male,Yes,35.0,No,Entertainment,8.0,average,4.0,3.0,-4.104,3.48,3.309,2.361,B
84,Female,No,19.0,No,Marketing,1.0,low,3.0,4.0,4.167,5.204,6.193,5.992,A
85,Male,No,32.0,No,Healthcare,7.0,low,5.0,6.0,4.544,5.09,7.195,3.861,D
86,Male,Yes,52.0,Yes,Artist,0.0,average,3.0,6.0,14.148,-4.249,11.587,10.493,C
87,Female,Yes,36.0,Yes,Artist,5.0,low,2.0,6.0,6.867,8.823,-0.729,6.178,C
88,Female,No,42.0,No,Entertainment,7.0,average,3.0,4.0,6.207,5.941,1.456,6.457,D
89,Male,Yes,40.0,No,Doctor,0.0,average,2.0,3.0,12.904,10.331,0.852,0.625,D
90,Male,No,39.0,Yes,Entertainment,0.0,low,3.0,1.0,1.51,1.161,5.879,2.159,B
91,Female,Yes,47.0,Yes,Artist,1.0,average,4.0,3.0,15.96,3.067,1.504,6.837,C
92,Female,Yes,61.0,Yes,Artist,1.0,high,2.0,6.0,19.345,3.736,3.472,13.312,C
93,Male,Yes,32.0,No,Entertainment,1.0,low,2.0,3.0,9.071,9.876,3.373,5.96,D
94,Male,Yes,55.0,No,Artist,0.0,low,1.0,6.0,11.117,6.57,3.945,-5.016,B
95,Male,Yes,58.0,Yes,Artist,1.0,average,1.0,6.0,9.892,3.93,7.81,8.925,D
97,Male,Yes,63.0,Yes,Artist,0.0,average,2.0,6.0,13.079,10.156,8.181,14.524,C
98,Male,Yes,58.0,Yes,Doctor,1.0,average,2.0,6.0,14.849,6.204,13.801,1.017,C
99,Male,Yes,40.0,No,Engineer,3.0,average,3.0,4.0,9.918,3.149,4.196,4.052,D
100,Male,Yes,60.0,Yes,Artist,0.0,average,4.0,6.0,19.743,12.468,15.042,13.332,C
101,Male,Yes,68.0,No,Executive,1.0,high,7.0,6.0,6.295,1.69,4.88,3.234,B
102,Male,Yes,52.0,No,Artist,0.0,low,3.0,4.0,4.808,1.663,2.025,4.024,A
103,Male,Yes,38.0,No,Executive,0.0,high,5.0,6.0,6.853,2.93,7.956,-0.072,A
104,Female,Yes,35.0,Yes,Healthcare,10.0,low,2.0,6.0,-2.137,2.963,6.97,3.898,B
105,Male,No,18.0,No,Doctor,1.0,average,2.0,6.0,16.777,4.694,5.447,5.922,D
106,Male,Yes,30.0,Yes,Homemaker,3.0,low,2.0,1.0,8.065,1.353,10.818,7.128,D
107,Male,No,86.0,No,Lawyer,1.0,low,1.0,6.0,3.861,2.892,3.395,10.842,D
109,Male,No,25.0,No,Healthcare,9.0,low,3.0,6.0,8.094,4.213,5.902,13.352,D
110,Male,Yes,59.0,Yes,Entertainment,1.0,low,4.0,4.0,3.594,3.223,2.318,4.924,A
111,Female,No,39.0,Yes,Artist,0.0,low,1.0,6.0,6.967,5.629,0.18,6.407,A
112,Female,Yes,50.0,Yes,Doctor,1.0,low,3.0,6.0,2.569,6.711,7.673,1.117,B
113,Male,No,47.0,Yes,Artist,1.0,average,1.0,6.0,17.8,6.375,18.923,3.433,C
114,Male,Yes,43.0,Yes,Executive,0.0,high,3.0,6.0,0.575,7.739,6.899,6.193,D
116,Male,Yes,80.0,No,Lawyer,1.0,low,1.0,6.0,13.185,-1.284,6.303,-0.106,D
117,Male,No,36.0,Yes,Artist,0.0,low,2.0,2.0,18.998,9.416,7.889,15.554,C
119,Female,Yes,37.0,Yes,Artist,1.0,high,2.0,7.0,8.529,5.453,6.61,2.118,A
120,Male,Yes,46.0,Yes,Executive,0.0,high,3.0,6.0,9.844,7.252,5.922,5.854,C
121,Male,Yes,55.0,No,Executive,1.0,high,4.0,3.0,6.088,7.33,1.775,4.144,B
122,Female,Yes,47.0,No,Engineer,9.0,average,4.0,4.0,-0.031,8.863,4.991,1.487,B
123,Female,No,28.0,Yes,Healthcare,1.0,low,3.0,3.0,9.154,2.179,7.736,5.084,D
124,Male,Yes,39.0,No,Entertainment,9.0,low,2.0,3.0,13.712,8.866,11.937,4.542,D
125,Female,Yes,27.0,No,Marketing,1.0,low,2.0,6.0,5.144,3.623,5.807,4.479,A
126,Female,Yes,42.0,No,Engineer,0.0,low,3.0,6.0,3.102,8.63,2.421,7.656,A
127,Male,Yes,72.0,Yes,Artist,0.0,average,2.0,6.0,4.683,8.265,13.476,2.446,C
128,Female,Yes,28.0,Yes,Engineer,0.0,low,2.0,6.0,1.919,6.59,7.12,5.552,A
129,Male,No,35.0,Yes,Entertainment,8.0,low,5.0,6.0,15.957,11.164,10.212,4.048,C
130,Male,Yes,39.0,Yes,Executive,9.0,average,5.0,2.0,5.164,4.57,5.064,2.033,A
131,Female,Yes,69.0,Yes,Lawyer,0.0,high,2.0,6.0,14.085,10.106,9.181,4.441,C
132,Male,No,18.0,No,Healthcare,6.0,low,3.0,4.0,5.576,8.209,4.512,1.435,D
133,Male,Yes,46.0,Yes,Artist,1.0,low,1.0,6.0,7.419,6.823,4.828,2.495,A
134,Female,Yes,50.0,Yes,Engineer,1.0,high,2.0,4.0,9.466,-0.295,-0.193,0.688,B
135,Male,No,30.0,No,Executive,5.0,low,5.0,6.0,5.758,4.975,3.65,4.571,A
136,Female,No,41.0,No,Artist,1.0,low,2.0,6.0,5.947,0.208,1.57,-2.641,B
137,Female,No,39.0,Yes,Artist,3.0,low,4.0,6.0,6.09,4.97,0.789,9.931,D
138,Female,No,29.0,No,Marketing,8.0,low,4.0,6.0,-1.822,-2.152,6.571,7.11,D
139,Female,Yes,37.0,Yes,Artist,4.0,low,4.0,5.0,1.993,-2.123,4.464,3.195,B
140,Female,Yes,39.0,Yes,Engineer,0.0,average,2.0,6.0,8.797,6.024,6.98,1.276,A
141,Female,Yes,48.0,Yes,Artist,0.0,average,5.0,7.0,15.383,7.758,13.265,11.411,C
142,Female,No,32.0,Yes,Doctor,0.0,low,3.0,6.0,9.414,3.735,7.615,15.709,C
143,Male,Yes,78.0,No,Lawyer,1.0,low,3.0,6.0,0.263,3.542,2.47,-1.407,B
144,Female,Yes,43.0,No,Engineer,0.0,average,5.0,4.0,2.208,4.509,5.272,-6.008,B
145,Male,No,29.0,No,Marketing,8.0,low,5.0,6.0,7.448,-0.767,6.754,0.877,C
146,Female,Yes,28.0,No,Engineer,9.0,average,2.0,4.0,7.443,3.84,3.163,4.749,A
147,Male,Yes,80.0,Yes,Lawyer,1.0,low,1.0,6.0,2.124,5.428,4.425,7.362,B
148,Female,No,28.0,Yes,Healthcare,7.0,low,4.0,6.0,7.293,13.495,6.652,10.815,D
149,Male,Yes,71.0,Yes,Artist,6.0,average,3.0,6.0,16.392,8.517,9.051,12.52,C
150,Male,Yes,67.0,No,Lawyer,0.0,high,9.0,4.0,5.725,3.686,3.394,8.247,A
151,Female,No,26.0,No,Engineer,0.0,average,1.0,2.0,7.433,2.384,4.133,8.61,A
153,Female,Yes,43.0,Yes,Artist,2.0,average,2.0,6.0,2.943,0.568,1.8,2.194,B
154,Female,No,27.0,Yes,Healthcare,0.0,low,4.0,6.0,12.157,12.468,9.944,9.319,C
155,Female,Yes,45.0,Yes,Marketing,8.0,low,4.0,6.0,8.067,1.964,9.354,12.437,D
156,Male,Yes,76.0,No,Executive,1.0,low,1.0,6.0,15.939,10.336,12.402,10.425,C
157,Female,Yes,43.0,Yes,Artist,3.0,average,4.0,6.0,7.692,8.957,4.877,8.509,C
158,Female,Yes,78.0,Yes,Lawyer,1.0,high,2.0,6.0,2.015,1.226,-0.303,0.352,B
159,Male,Yes,35.0,Yes,Artist,3.0,average,3.0,6.0,5.717,5.026,6.774,11.074,C
160,Female,No,49.0,Yes,Artist,1.0,low,1.0,6.0,16.741,5.038,13.161,9.597,C
161,Female,No,25.0,Yes,Healthcare,1.0,low,5.0,6.0,2.87,0.371,2.339,4.375,D
162,Male,Yes,37.0,No,Executive,0.0,average,5.0,6.0,3.743,3.387,6.258,3.511,A
163,Female,No,32.0,No,Healthcare,1.0,low,5.0,0.0,13.725,9.029,9.038,8.43,C
164,Male,Yes,60.0,Yes,Doctor,0.0,average,2.0,6.0,19.992,4.298,9.299,14.824,C
165,Female,Yes,45.0,Yes,Artist,5.0,average,3.0,6.0,11.46,1.951,12.842,10.679,C
166,Female,Yes,49.0,Yes,Homemaker,9.0,average,3.0,6.0,12.772,5.018,2.495,17.539,C
167,Male,No,32.0,Yes,Artist,0.0,low,5.0,6.0,4.122,-0.991,8.064,7.532,D
168,Female,Yes,40.0,Yes,Artist,0.0,low,3.0,3.0,0.329,2.355,6.878,-3.063,B
169,Male,Yes,59.0,No,Artist,2.0,average,2.0,4.0,14.679,5.303,12.662,6.746,C
170,Male,Yes,48.0,Yes,Artist,3.0,low,5.0,6.0,1.289,3.841,7.12,5.749,B
171,Male,Yes,82.0,Yes,Executive,0.0,high,2.0,6.0,14.87,1.575,10.105,2.491,C
172,Female,Yes,70.0,Yes,Lawyer,0.0,low,2.0,6.0,5.058,5.16,1.195,3.422,B
173,Male,No,31.0,Yes,Artist,5.0,low,2.0,6.0,1.807,-0.351,12.548,-2.75,B
174,Female,Yes,72.0,Yes,Lawyer,0.0,high,2.0,6.0,11.162,9.687,13.207,8.469,C
175,Male,Yes,50.0,Yes,Artist,3.0,average,4.0,6.0,12.885,6.441,8.717,6.219,C
176,Female,No,23.0,No,Engineer,11.0,low,1.0,3.0,11.964,4.485,0.55,-1.455,D
177,Female,No,20.0,No,Healthcare,2.0,low,6.0,6.0,7.065,2.703,3.468,5.337,D
178,Female,No,22.0,No,Healthcare,4.0,low,3.0,6.0,7.1,3.67,3.694,0.093,D
179,Female,No,31.0,Yes,Engineer,8.0,average,1.0,6.0,5.97,6.784,3.045,2.226,A
180,Female,Yes,36.0,Yes,Artist,7.0,average,2.0,6.0,12.121,8.098,11.097,3.905,C
181,Male,Yes,52.0,No,Entertainment,1.0,average,5.0,4.0,8.453,4.969,9.974,-3.288,B
182,Female,No,29.0,Yes,Artist,1.0,low,1.0,4.0,5.242,4.701,3.287,-3.849,B
183,Male,Yes,40.0,Yes,Artist,4.0,average,4.0,6.0,18.093,0.144,7.145,12.193,C
184,Female,No,40.0,Yes,Artist,1.0,low,1.0,6.0,3.595,8.527,2.051,3.256,A
185,Male,Yes,38.0,Yes,Artist,1.0,low,2.0,6.0,14.25,10.904,18.491,4.635,C
186,Female,Yes,85.0,No,Lawyer,1.0,low,3.0,0.0,4.947,5.614,3.64,2.976,A
187,Female,No,21.0,No,Doctor,1.0,low,3.0,7.0,6.506,7.318,1.362,5.638,A
188,Female,Yes,41.0,No,Engineer,4.0,average,2.0,6.0,11.454,5.764,5.692,0.959,D
189,Male,Yes,40.0,Yes,Artist,0.0,low,2.0,6.0,0.202,1.417,1.373,3.248,B
190,Male,Yes,53.0,Yes,Artist,1.0,average,3.0,6.0,7.286,3.892,4.965,-0.425,B
191,Female,Yes,42.0,Yes,Artist,5.0,low,2.0,6.0,10.294,5.856,13.76,-0.817,C
192,Male,Yes,42.0,No,Executive,8.0,low,2.0,6.0,6.848,-2.155,7.768,2.834,D
193,Male,Yes,48.0,Yes,Artist,1.0,average,4.0,7.0,13.912,11.249,11.987,7.861,C
194,Male,Yes,59.0,Yes,Artist,7.0,low,2.0,6.0,10.579,-0.319,4.257,6.135,C
195,Male,Yes,41.0,Yes,Executive,1.0,average,3.0,6.0,7.731,4.376,7.632,2.337,A
196,Female,Yes,31.0,Yes,Artist,0.0,average,2.0,6.0,7.422,3.367,8.387,-0.311,A
197,Female,Yes,49.0,Yes,Artist,1.0,high,5.0,6.0,2.525,5.054,-0.137,3.169,B
198,Male,Yes,67.0,Yes,Executive,1.0,low,2.0,6.0,5.991,3.511,6.381,8.827,A
199,Male,Yes,35.0,No,Artist,4.0,average,2.0,6.0,0.997,2.751,-4.875,-0.013,B
202,Female,Yes,25.0,No,Engineer,6.0,average,8.0,4.0,5.467,3.188,10.2,3.038,D
203,Female,Yes,39.0,Yes,Healthcare,4.0,low,2.0,6.0,9.183,6.09,6.933,5.417,A
204,Male,Yes,63.0,Yes,Entertainment,0.0,low,2.0,6.0,3.912,3.65,4.461,0.803,A
205,Male,No,40.0,No,Healthcare,8.0,low,3.0,6.0,9.805,6.629,6.486,3.092,D
206,Female,No,23.0,No,Healthcare,0.0,low,3.0,3.0,5.59,-0.199,5.532,2.7,D
207,Female,Yes,53.0,Yes,Artist,2.0,low,1.0,6.0,10.685,8.54,2.203,14.133,C
208,Male,No,33.0,Yes,Doctor,0.0,low,2.0,6.0,5.441,1.691,8.821,5.927,B
210,Female,Yes,69.0,Yes,Engineer,0.0,low,2.0,4.0,3.208,1.155,0.722,-0.932,B
211,Male,No,37.0,Yes,Artist,2.0,low,1.0,6.0,7.516,3.501,4.413,-1.876,B
212,Female,No,20.0,No,Marketing,3.0,low,4.0,7.0,7.967,15.619,4.124,21.899,C
214,Female,Yes,49.0,Yes,Doctor,1.0,average,4.0,6.0,4.83,3.61,12.463,9.898,C
215,Male,No,18.0,No,Healthcare,0.0,low,3.0,3.0,9.163,10.068,5.392,5.718,D
216,Female,Yes,52.0,Yes,Doctor,0.0,average,2.0,6.0,16.275,6.06,5.441,4.282,C
217,Male,Yes,25.0,No,Doctor,1.0,average,2.0,6.0,-1.514,2.758,6.664,-0.546,B
218,Male,Yes,56.0,No,Executive,1.0,high,2.0,6.0,7.904,3.21,6.443,4.367,A
222,Female,No,28.0,Yes,Artist,7.0,low,3.0,6.0,6.136,6.042,6.939,3.071,A
223,Male,No,20.0,No,Healthcare,0.0,low,5.0,7.0,13.172,6.328,4.68,10.492,D
224,Female,No,27.0,No,Homemaker,8.0,low,1.0,3.0,14.062,3.748,6.549,3.115,D
225,Female,No,56.0,No,Engineer,1.0,low,1.0,6.0,6.627,4.668,5.245,2.93,A
226,Male,Yes,45.0,Yes,Artist,4.0,average,4.0,6.0,4.208,-0.717,1.335,-1.131,B
227,Male,No,25.0,Yes,Healthcare,1.0,low,4.0,4.0,4.598,4.304,3.257,3.865,B
228,Male,No,40.0,No,Marketing,1.0,low,1.0,4.0,10.045,3.646,5.551,6.417,D
229,Female,Yes,25.0,Yes,Healthcare,1.0,low,2.0,6.0,7.474,8.579,5.185,8.062,D
230,Female,Yes,74.0,No,Lawyer,1.0,high,2.0,6.0,5.213,5.588,6.656,8.679,D
231,Female,No,23.0,No,Healthcare,0.0,average,4.0,0.0,11.118,6.028,6.527,4.649,D
232,Female,Yes,67.0,Yes,Lawyer,0.0,high,2.0,6.0,8.724,4.709,1.546,2.544,B
233,Male,No,21.0,No,Healthcare,0.0,low,3.0,0.0,5.336,7.059,5.838,0.393,D
234,Female,No,38.0,Yes,Artist,9.0,low,1.0,3.0,9.258,7.704,9.411,1.738,A
235,Male,No,28.0,No,Healthcare,0.0,average,4.0,2.0,5.904,-1.298,15.489,5.484,C
236,Female,No,32.0,No,Healthcare,1.0,low,5.0,7.0,3.549,1.977,-0.871,2.908,B
238,Female,Yes,56.0,No,Lawyer,1.0,high,4.0,4.0,-1.786,2.234,-0.967,-1.295,B
239,Female,Yes,53.0,Yes,Artist,1.0,low,2.0,6.0,4.142,8.457,7.252,12.338,C
241,Female,Yes,59.0,Yes,Artist,0.0,average,3.0,6.0,13.98,3.83,17.178,8.399,C
243,Male,Yes,59.0,Yes,Artist,0.0,average,6.0,6.0,8.158,11.731,13.571,10.121,C
244,Female,Yes,36.0,Yes,Artist,0.0,low,4.0,6.0,11.711,14.032,12.466,8.755,C
245,Male,Yes,37.0,Yes,Entertainment,7.0,low,2.0,6.0,5.444,4.954,4.925,4.79,A
246,Male,No,22.0,No,Doctor,1.0,low,3.0,2.0,11.026,7.727,11.702,0.592,D
247,Male,Yes,43.0,Yes,Artist,1.0,low,2.0,6.0,6.89,5.639,1.93,0.152,B
248,Male,Yes,41.0,Yes,Artist,1.0,low,2.0,4.0,7.847,7.748,6.582,2.788,A
249,Female,No,21.0,No,Engineer,0.0,low,5.0,2.0,3.59,4.049,4.285,-1.208,B
252,Male,Yes,47.0,No,Artist,1.0,average,4.0,6.0,3.912,6.735,4.547,2.107,A
253,Male,Yes,70.0,Yes,Lawyer,1.0,high,3.0,6.0,22.974,8.251,8.01,8.435,C
254,Female,No,31.0,No,Engineer,1.0,average,4.0,6.0,6.12,1.97,1.819,4.014,B
255,Female,Yes,82.0,No,Lawyer,0.0,average,2.0,6.0,4.959,8.929,9.888,4.826,A
256,Female,Yes,51.0,No,Executive,1.0,low,1.0,6.0,5.453,3.907,5.648,6.432,A
257,Female,No,42.0,No,Homemaker,11.0,low,3.0,6.0,5.267,4.075,4.667,0.282,A
258,Male,No,38.0,Yes,Artist,8.0,low,3.0,2.0,7.06,4.969,4.162,2.629,A
259,Male,Yes,18.0,No,Executive,0.0,high,4.0,6.0,9.602,1.664,7.588,1.163,A
260,Male,Yes,50.0,Yes,Artist,6.0,average,3.0,6.0,7.01,9.85,12.446,15.195,C
261,Female,No,46.0,Yes,Doctor,1.0,low,3.0,3.0,4.522,7.114,7.296,3.885,A
262,Female,Yes,72.0,No,Lawyer,1.0,high,3.0,6.0,14.228,7.061,3.08,5.667,D
263,Female,No,33.0,No,Engineer,1.0,low,4.0,6.0,16.612,3.836,6.108,10.605,C
264,Female,No,25.0,No,Homemaker,1.0,low,7.0,4.0,4.38,3.339,6.97,-1.71,B
265,Female,Yes,75.0,No,Entertainment,2.0,high,2.0,2.0,6.361,2.554,4.148,-2.106,D
266,Male,No,72.0,Yes,Artist,1.0,low,1.0,6.0,0.495,6.244,5.554,1.202,B
267,Female,Yes,72.0,Yes,Artist,0.0,average,3.0,4.0,16.781,5.336,3.631,8.518,C
268,Male,Yes,36.0,Yes,Entertainment,6.0,low,6.0,4.0,3.417,9.953,4.484,5.441,A
269,Male,Yes,40.0,Yes,Artist,1.0,low,2.0,6.0,5.601,2.18,4.082,2.224,A
270,Female,No,28.0,Yes,Entertainment,0.0,low,4.0,6.0,11.558,7.085,10.848,-1.237,C
271,Female,No,28.0,Yes,Doctor,0.0,low,3.0,6.0,3.296,8.735,1.701,4.914,D
273,Male,Yes,43.0,Yes,Artist,0.0,low,2.0,4.0,5.184,1.653,2.573,2.509,B
274,Female,Yes,35.0,Yes,Artist,1.0,average,2.0,6.0,5.616,5.541,3.593,-2.013,B
275,Male,Yes,65.0,Yes,Lawyer,1.0,high,3.0,6.0,3.593,-2.701,5.624,2.257,B
276,Male,Yes,52.0,Yes,Executive,7.0,high,4.0,4.0,19.612,0.751,13.032,11.178,C
278,Female,Yes,69.0,No,Engineer,9.0,low,3.0,6.0,8.386,5.419,6.041,-1.005,A
279,Female,No,22.0,No,Healthcare,3.0,low,3.0,6.0,2.361,2.854,4.859,1.901,D
280,Male,Yes,47.0,Yes,Executive,1.0,average,4.0,6.0,21.505,4.078,15.052,8.189,C
281,Male,Yes,29.0,Yes,Marketing,1.0,high,2.0,3.0,5.011,5.931,3.213,4.461,A
282,Male,Yes,46.0,Yes,Artist,1.0,average,3.0,3.0,18.706,13.035,5.6,7.713,C
283,Male,No,32.0,Yes,Artist,1.0,low,2.0,6.0,3.729,5.679,2.717,0.212,A
284,Female,No,38.0,Yes,Healthcare,0.0,average,1.0,2.0,11.89,11.215,10.472,1.406,C
285,Male,Yes,59.0,Yes,Artist,0.0,low,1.0,6.0,-1.76,3.025,-0.317,-2.365,B
